,task,start,end
0,粘接预装台位33号,90,91
1,进车台位1号,93,94
2,粘接预装台位29号,114,116
3,进车台位1号,117,119
4,粘接预装台位33号,139,141
5,进车台位1号,141,144
6,粘接预装台位29号,164,166
7,粘接预装台位33号,189,193
8,粘接预装台位33号,258,259
9,进车台位1号,261,262
10,粘接预装台位29号,282,284
11,进车台位1号,285,287
12,粘接预装台位33号,307,309
13,进车台位1号,309,312
14,粘接预装台位29号,332,334
15,粘接预装台位33号,357,361
16,粘接预装台位33号,426,427
17,进车台位1号,429,430
18,粘接预装台位29号,450,452
19,进车台位1号,453,455
20,粘接预装台位33号,475,477
21,进车台位1号,477,480
22,粘接预装台位29号,500,502
23,粘接预装台位33号,525,529
24,粘接预装台位33号,594,595
25,进车台位1号,597,598
26,粘接预装台位29号,618,620
27,进车台位1号,621,623
28,粘接预装台位33号,643,645
29,进车台位1号,645,648
30,粘接预装台位29号,668,670
31,粘接预装台位33号,693,697
32,模块化组装7号,700,701
33,普通组装2类(BC车)12号,724,725
34,粘接预装台位33号,762,763
35,进车台位1号,765,766
36,粘接预装台位29号,786,788
37,进车台位1号,789,791
38,粘接预装台位33号,811,813
39,进车台位1号,813,816
40,粘接预装台位29号,836,838
41,粘接预装台位33号,861,865
42,模块化组装7号,868,869
43,普通组装2类(BC车)20号,892,893
44,粘接预装台位33号,930,931
45,进车台位1号,933,934
46,粘接预装台位29号,954,956
47,进车台位1号,957,959
48,粘接预装台位33号,979,981
49,进车台位1号,981,984
50,粘接预装台位29号,1004,1006
51,粘接预装台位33号,1029,1033
52,模块化组装7号,1036,1037
53,普通组装2类(BC车)25号,1060,1061
54,粘接预装台位33号,1098,1099
55,进车台位1号,1101,1102
56,粘接预装台位29号,1122,1124
57,进车台位1号,1125,1127
58,粘接预装台位33号,1147,1149
59,进车台位1号,1149,1152
60,粘接预装台位29号,1172,1174
61,粘接预装台位33号,1197,1201
62,模块化组装7号,1204,1205
63,普通组装2类(BC车)14号,1228,1229
64,粘接预装台位33号,1266,1267
65,进车台位1号,1269,1270
66,粘接预装台位29号,1290,1292
67,进车台位1号,1293,1295
68,粘接预装台位33号,1315,1317
69,进车台位1号,1317,1320
70,粘接预装台位29号,1340,1342
71,粘接预装台位33号,1365,1369
72,模块化组装7号,1372,1373
73,普通组装2类(BC车)22号,1396,1397
74,粘接预装台位33号,1434,1435
75,进车台位1号,1437,1438
76,粘接预装台位29号,1458,1460
77,进车台位1号,1461,1463
78,粘接预装台位33号,1483,1485
79,进车台位1号,1485,1488
80,粘接预装台位29号,1508,1510
81,粘接预装台位33号,1533,1537
82,模块化组装7号,1540,1541
83,普通组装2类(BC车)26号,1564,1565
84,粘接预装台位33号,1602,1603
85,进车台位1号,1605,1606
86,粘接预装台位29号,1626,1628
87,进车台位1号,1629,1631
88,粘接预装台位33号,1651,1653
89,进车台位1号,1653,1656
90,粘接预装台位29号,1676,1678
91,粘接预装台位33号,1701,1705
92,模块化组装7号,1708,1709
93,普通组装2类(BC车)16号,1732,1733
94,粘接预装台位33号,1770,1771
95,进车台位1号,1773,1774
96,粘接预装台位29号,1794,1796
97,进车台位1号,1797,1799
98,粘接预装台位33号,1819,1821
99,进车台位1号,1821,1824
100,粘接预装台位29号,1844,1846
101,粘接预装台位33号,1869,1873
102,模块化组装7号,1876,1877
103,普通组装2类(BC车)23号,1900,1901
104,粘接预装台位33号,1938,1939
105,进车台位1号,1941,1942
106,粘接预装台位29号,1962,1964
107,进车台位1号,1965,1967
108,粘接预装台位33号,1987,1989
109,进车台位1号,1989,1992
110,粘接预装台位29号,2012,2014
111,粘接预装台位33号,2037,2041
112,模块化组装7号,2044,2045
113,普通组装2类(BC车)35号,2068,2069
114,粘接预装台位33号,2106,2107
115,进车台位1号,2109,2110
116,粘接预装台位29号,2130,2132
117,进车台位1号,2133,2135
118,粘接预装台位33号,2155,2157
119,进车台位1号,2157,2160
120,粘接预装台位29号,2180,2182
121,粘接预装台位33号,2205,2209
122,模块化组装7号,2212,2213
123,普通组装2类(BC车)18号,2236,2237
124,粘接预装台位33号,2274,2275
125,进车台位1号,2277,2278
126,粘接预装台位29号,2298,2300
127,进车台位1号,2301,2303
128,粘接预装台位33号,2323,2325
129,进车台位1号,2325,2328
130,粘接预装台位29号,2348,2350
131,粘接预装台位33号,2373,2377
132,模块化组装7号,2380,2381
133,普通组装2类(BC车)24号,2404,2405
134,粘接预装台位33号,2442,2443
135,进车台位1号,2445,2446
