,task,start,end
0,进车台位1号,69,70
1,粘接预装台位33号,93,94
2,进车台位1号,93,95
3,粘接预装台位29号,118,119
4,进车台位1号,117,120
5,粘接预装台位33号,143,144
6,粘接预装台位29号,168,169
7,进车台位1号,213,214
8,粘接预装台位29号,237,238
9,进车台位1号,237,239
10,粘接预装台位33号,262,263
11,进车台位1号,261,264
12,粘接预装台位29号,287,288
13,粘接预装台位33号,312,313
14,进车台位1号,357,358
15,粘接预装台位33号,381,382
16,进车台位1号,381,383
17,粘接预装台位29号,406,407
18,进车台位1号,405,408
19,粘接预装台位33号,431,432
20,粘接预装台位29号,456,457
21,进车台位1号,501,502
22,粘接预装台位29号,525,526
23,进车台位1号,525,527
24,粘接预装台位33号,550,551
25,进车台位1号,549,552
26,粘接预装台位29号,575,576
27,粘接预装台位33号,600,601
28,进车台位1号,645,646
29,粘接预装台位33号,669,670
30,进车台位1号,669,671
31,粘接预装台位29号,694,695
32,进车台位1号,693,696
33,粘接预装台位33号,719,720
34,粘接预装台位29号,744,745
35,进车台位1号,789,790
36,粘接预装台位29号,813,814
37,进车台位1号,813,815
38,粘接预装台位33号,838,839
39,进车台位1号,837,840
40,粘接预装台位29号,863,864
41,粘接预装台位33号,888,889
42,进车台位1号,933,934
43,粘接预装台位33号,957,958
44,进车台位1号,957,959
45,粘接预装台位29号,982,983
46,进车台位1号,981,984
47,粘接预装台位33号,1007,1008
48,粘接预装台位29号,1032,1033
49,进车台位1号,1077,1078
50,粘接预装台位29号,1101,1102
51,进车台位1号,1101,1103
52,粘接预装台位33号,1126,1127
53,进车台位1号,1125,1128
54,粘接预装台位29号,1151,1152
55,粘接预装台位33号,1176,1177
56,进车台位1号,1221,1222
57,粘接预装台位33号,1245,1246
58,进车台位1号,1245,1247
59,粘接预装台位29号,1270,1271
60,进车台位1号,1269,1272
61,粘接预装台位33号,1295,1296
62,粘接预装台位29号,1320,1321
63,进车台位1号,1365,1366
64,粘接预装台位29号,1389,1390
65,进车台位1号,1389,1391
66,粘接预装台位33号,1414,1415
67,进车台位1号,1413,1416
68,粘接预装台位29号,1439,1440
69,粘接预装台位33号,1464,1465
70,进车台位1号,1509,1510
71,粘接预装台位33号,1533,1534
72,进车台位1号,1533,1535
73,粘接预装台位29号,1558,1559
74,进车台位1号,1557,1560
75,粘接预装台位33号,1583,1584
76,粘接预装台位29号,1608,1609
77,进车台位1号,1653,1654
78,粘接预装台位29号,1677,1678
79,进车台位1号,1677,1679
80,粘接预装台位33号,1702,1703
81,进车台位1号,1701,1704
82,粘接预装台位29号,1727,1728
83,粘接预装台位33号,1752,1753
84,进车台位1号,1797,1798
85,粘接预装台位33号,1821,1822
86,进车台位1号,1821,1823
87,粘接预装台位29号,1846,1847
88,进车台位1号,1845,1848
89,粘接预装台位33号,1871,1872
90,粘接预装台位29号,1896,1897
91,进车台位1号,1941,1942
92,粘接预装台位29号,1965,1966
93,进车台位1号,1965,1967
94,粘接预装台位33号,1990,1991
95,进车台位1号,1989,1992
96,粘接预装台位29号,2015,2016
97,粘接预装台位33号,2040,2041
98,进车台位1号,2085,2086
99,粘接预装台位33号,2109,2110
100,进车台位1号,2109,2111
101,粘接预装台位29号,2134,2135
102,进车台位1号,2133,2136
103,粘接预装台位33号,2159,2160
104,粘接预装台位29号,2184,2185
